0	IAB1	Arts & Entertainment
1	IAB1-1	Books & Literature
2	IAB1-2	Celebrity Fan/Gossip
3	IAB1-3	Fine Art
4	IAB1-4	Humor
5	IAB1-5	Movies
6	IAB1-6	Music
7	IAB1-7	Television
8	IAB2	Automotive
9	IAB2-1	Auto Parts
10	IAB2-2	Auto Repair
11	IAB2-3	Buying/Selling Cars
12	IAB2-4	Car Culture
13	IAB2-5	Certified Pre-Owned
14	IAB2-6	Convertible
15	IAB2-7	Coupe
16	IAB2-8	Crossover
17	IAB2-9	Diesel
18	IAB2-10	Electric Vehicle
19	IAB2-11	Hatchback
20	IAB2-12	Hybrid
21	IAB2-13	Luxury
22	IAB2-14	Minivan
23	IAB2-15	Motorcycles
24	IAB2-16	Off-Road Vehicles
25	IAB2-17	Performance Vehicles
26	IAB2-18	Pickup
27	IAB2-19	Road-Side Assistance
28	IAB2-20	Sedan
29	IAB2-21	Trucks & Accessories
30	IAB2-22	Vintage Cars
31	IAB2-23	Wagon
32	IAB3	Business
33	IAB3-1	Advertising
34	IAB3-2	Agriculture
35	IAB3-3	Biotech/Biomedical
36	IAB3-4	Business Software
37	IAB3-5	Construction
38	IAB3-6	Forestry
39	IAB3-7	Government
40	IAB3-8	Green Solutions
41	IAB3-9	Human Resources
42	IAB3-10	Logistics
43	IAB3-11	Marketing
44	IAB3-12	Metals
45	IAB4	Careers
46	IAB4-1	Career Planning
47	IAB4-2	College
48	IAB4-3	Financial Aid
49	IAB4-4	Job Fairs
50	IAB4-5	Job Search
51	IAB4-6	Resume Writing/Advice
52	IAB4-7	Nursing
53	IAB4-8	Scholarships
54	IAB4-9	Telecommuting
55	IAB4-10	U.S. Military
56	IAB4-11	Career Advice
57	IAB5	Education
58	IAB5-1	7-12 Education
59	IAB5-2	Adult Education
60	IAB5-3	Art History
61	IAB5-4	College Administration
62	IAB5-5	College Life
63	IAB5-6	Distance Learning
64	IAB5-7	English as a 2nd Language
65	IAB5-8	Language Learning
66	IAB5-9	Graduate School
67	IAB5-10	Homeschooling
68	IAB5-11	Homework/Study Tips
69	IAB5-12	K-6 Educators
70	IAB5-13	Private School
71	IAB5-14	Special Education
72	IAB5-15	Studying Business
73	IAB6	Family & Parenting
74	IAB6-1	Adoption
75	IAB6-2	Babies & Toddlers
76	IAB6-3	Daycare/Pre School
77	IAB6-4	Family Internet
78	IAB6-5	Parenting - K-6 Kids
79	IAB6-6	Parenting teens
80	IAB6-7	Pregnancy
81	IAB6-8	Special Needs Kids
82	IAB6-9	Eldercare
83	IAB7	Health & Fitness
84	IAB7-1	Exercise
85	IAB7-2	ADD
86	IAB7-3	AIDS/HIV
87	IAB7-4	Allergies
88	IAB7-5	Alternative Medicine
89	IAB7-6	Arthritis
90	IAB7-7	Asthma
91	IAB7-8	Autism/PDD
92	IAB7-9	Bipolar Disorder
93	IAB7-10	Brain Tumor
94	IAB7-11	Cancer
95	IAB7-12	Cholesterol
96	IAB7-13	Chronic Fatigue Syndrome
97	IAB7-14	Chronic Pain
98	IAB7-15	Cold & Flu
99	IAB7-16	Deafness
100	IAB7-17	Dental Care
101	IAB7-18	Depression
102	IAB7-19	Dermatology
103	IAB7-20	Diabetes
104	IAB7-21	Epilepsy
105	IAB7-22	GERD/Acid Reflux
106	IAB7-23	Headaches/Migraines
107	IAB7-24	Heart Disease
108	IAB7-25	Herbs for Health
109	IAB7-26	Holistic Healing
110	IAB7-27	IBS/Crohn’s Disease
111	IAB7-28	Incest/Abuse Support
112	IAB7-29	Incontinence
113	IAB7-30	Infertility
114	IAB7-31	Men’s Health
115	IAB7-32	Nutrition
116	IAB7-33	Orthopedics
117	IAB7-34	Panic/Anxiety Disorders
118	IAB7-35	Pediatrics
119	IAB7-36	Physical Therapy
120	IAB7-37	Psychology/Psychiatry
121	IAB7-38	Senior Health
122	IAB7-39	Sexuality
123	IAB7-40	Sleep Disorders
124	IAB7-41	Smoking Cessation
125	IAB7-42	Substance Abuse
126	IAB7-43	Thyroid Disease
127	IAB7-44	Weight Loss
128	IAB7-45	Women's Health
129	IAB8	Food & Drink
130	IAB8-1	American Cuisine
131	IAB8-2	Barbecues & Grilling
132	IAB8-3	Cajun/Creole
133	IAB8-4	Chinese Cuisine
134	IAB8-5	Cocktails/Beer
135	IAB8-6	Coffee/Tea
136	IAB8-7	Cuisine-Specific
137	IAB8-8	Desserts & Baking
138	IAB8-9	Dining Out
139	IAB8-10	Food Allergies
140	IAB8-11	French Cuisine
141	IAB8-12	Health/Low-Fat Cooking
142	IAB8-13	Italian Cuisine
143	IAB8-14	Japanese Cuisine
144	IAB8-15	Mexican Cuisine
145	IAB8-16	Vegan
146	IAB8-17	Vegetarian
147	IAB8-18	Wine
148	IAB9	Hobbies & Interests
149	IAB9-1	Art/Technology
150	IAB9-2	Arts & Crafts
151	IAB9-3	Beadwork
152	IAB9-4	Bird-Watching
153	IAB9-5	Board Games/Puzzles
154	IAB9-6	Candle & Soap Making
155	IAB9-7	Card Games
156	IAB9-8	Chess
157	IAB9-9	Cigars
158	IAB9-10	Collecting
159	IAB9-11	Comic Books
160	IAB9-12	Drawing/Sketching
161	IAB9-13	Freelance Writing
162	IAB9-14	Genealogy
163	IAB9-15	Getting Published
164	IAB9-16	Guitar
165	IAB9-17	Home Recording
166	IAB9-18	Investors & Patents
167	IAB9-19	Jewelry Making
168	IAB9-20	Magic & Illusion
169	IAB9-21	Needlework
170	IAB9-22	Painting
171	IAB9-23	Photography
172	IAB9-24	Radio
173	IAB9-25	Roleplaying Games
174	IAB9-26	Sci-Fi & Fantasy
175	IAB9-27	Scrapbooking
176	IAB9-28	Screenwriting
177	IAB9-29	Stamps & Coins
178	IAB9-30	Video & Computer Games
179	IAB9-31	Woodworking
180	IAB10	Home & Garden
181	IAB10-1	Appliances
182	IAB10-2	Entertaining
183	IAB10-3	Environmental Safety
184	IAB10-4	Gardening
185	IAB10-5	Home Repair
186	IAB10-6	Home Theater
187	IAB10-7	Interior Decorating
188	IAB10-8	Landscaping
189	IAB10-9	Remodeling & Construction
190	IAB11	Law, Government, & Politics
191	IAB11-1	Immigration
192	IAB11-2	Legal Issues
193	IAB11-3	U.S. Government Resources
194	IAB11-4	Politics
195	IAB11-5	Commentary
196	IAB12	News
197	IAB12-1	International News
198	IAB12-2	National News
199	IAB12-3	Local News
200	IAB13	Personal Finance
201	IAB13-1	Beginning Investing
202	IAB13-2	Credit/Debt & Loans
203	IAB13-3	Financial News
204	IAB13-4	Financial Planning
205	IAB13-5	Hedge Fund
206	IAB13-6	Insurance
207	IAB13-7	Investing
208	IAB13-8	Mutual Funds
209	IAB13-9	Options
210	IAB13-10	Retirement Planning
211	IAB13-11	Stocks
